Model,Treatment,Tumor_id,Timepoint,Response
C3H-SCID,XL184+Actemra,#3771579049,-29,0.0
C3H-SCID,XL184+Actemra,#3771579049,-27,0.0
C3H-SCID,XL184+Actemra,#3771579049,-25,0.0
C3H-SCID,XL184+Actemra,#3771579049,-22,0.0
C3H-SCID,XL184+Actemra,#3771579049,-20,0.0
C3H-SCID,XL184+Actemra,#3771579049,-18,10.5
C3H-SCID,XL184+Actemra,#3771579049,-15,15.75
C3H-SCID,XL184+Actemra,#3771579049,-8,18.375
C3H-SCID,XL184+Actemra,#3771579049,-6,36.0
C3H-SCID,XL184+Actemra,#3771579049,-4,36.0
C3H-SCID,XL184+Actemra,#3771579049,-1,36.0
C3H-SCID,XL184+Actemra,#3771579049,1,40.0
C3H-SCID,XL184+Actemra,#3771579049,3,40.0
C3H-SCID,XL184+Actemra,#3771579049,6,56.25
C3H-SCID,XL184+Actemra,#3771579049,8,56.25
C3H-SCID,XL184+Actemra,#3771579049,10,68.75
C3H-SCID,XL184+Actemra,#3771579049,13,68.75
C3H-SCID,XL184+Actemra,#3771579049,15,68.75
C3H-SCID,XL184+Actemra,#3771579049,17,90.75
C3H-SCID,XL184+Actemra,#3771579049,20,90.75
C3H-SCID,XL184+Actemra,#3771579049,22,90.75
C3H-SCID,XL184+Actemra,#3771579049,24,90.75
C3H-SCID,XL184+Actemra,#3771579049,27,99.0
C3H-SCID,XL184+Actemra,#3771579049,29,99.0
C3H-SCID,XL184+Actemra,#3771579049,31,99.0
C3H-SCID,XL184+Actemra,#3771579049,34,99.0
C3H-SCID,XL184+Actemra,#3771579049,36,NA
C3H-SCID,XL184+Actemra,#3771579049,38,NA
C3H-SCID,XL184+Actemra,#3771579049,41,NA
C3H-SCID,Actemra,#1369667640,-29,0.0
C3H-SCID,Actemra,#1369667640,-27,0.0
C3H-SCID,Actemra,#1369667640,-25,0.0
C3H-SCID,Actemra,#1369667640,-22,0.0
C3H-SCID,Actemra,#1369667640,-20,0.0
C3H-SCID,Actemra,#1369667640,-18,0.0
C3H-SCID,Actemra,#1369667640,-15,0.0
C3H-SCID,Actemra,#1369667640,-8,0.0
C3H-SCID,Actemra,#1369667640,-6,18.375
C3H-SCID,Actemra,#1369667640,-4,32.0
C3H-SCID,Actemra,#1369667640,-1,40.5
C3H-SCID,Actemra,#1369667640,1,45.0
C3H-SCID,Actemra,#1369667640,3,56.25
C3H-SCID,Actemra,#1369667640,6,56.25
C3H-SCID,Actemra,#1369667640,8,62.5
C3H-SCID,Actemra,#1369667640,10,90.75
C3H-SCID,Actemra,#1369667640,13,108.0
C3H-SCID,Actemra,#1369667640,15,90.0
C3H-SCID,Actemra,#1369667640,17,108.0
C3H-SCID,Actemra,#1369667640,20,108.0
C3H-SCID,Actemra,#1369667640,22,136.5
C3H-SCID,Actemra,#1369667640,24,136.5
C3H-SCID,Actemra,#1369667640,27,157.5
C3H-SCID,Actemra,#1369667640,29,157.5
C3H-SCID,Actemra,#1369667640,31,182.0
C3H-SCID,Actemra,#1369667640,34,182.0
C3H-SCID,Actemra,#1369667640,36,304.0
C3H-SCID,Actemra,#1369667640,38,420.0
C3H-SCID,Actemra,#1369667640,41,420.0
C3H-SCID,Actemra,#556150360,-29,0.0
C3H-SCID,Actemra,#556150360,-27,0.0
C3H-SCID,Actemra,#556150360,-25,0.0
C3H-SCID,Actemra,#556150360,-22,0.0
C3H-SCID,Actemra,#556150360,-20,0.0
C3H-SCID,Actemra,#556150360,-18,0.0
C3H-SCID,Actemra,#556150360,-15,9.0
C3H-SCID,Actemra,#556150360,-8,9.0
C3H-SCID,Actemra,#556150360,-6,21.0
C3H-SCID,Actemra,#556150360,-4,36.0
C3H-SCID,Actemra,#556150360,-1,36.0
C3H-SCID,Actemra,#556150360,1,36.0
C3H-SCID,Actemra,#556150360,3,40.5
C3H-SCID,Actemra,#556150360,6,45.0
C3H-SCID,Actemra,#556150360,8,56.25
C3H-SCID,Actemra,#556150360,10,74.25
C3H-SCID,Actemra,#556150360,13,74.25
C3H-SCID,Actemra,#556150360,15,82.5
C3H-SCID,Actemra,#556150360,17,82.5
C3H-SCID,Actemra,#556150360,20,82.5
C3H-SCID,Actemra,#556150360,22,90.0
C3H-SCID,Actemra,#556150360,24,90.0
